"iLL672";"Freq"
"1";"";1262
"2";"ispi_0";1
"3";"ispi_100";2
"4";"ispi_1000";1
"5";"ispi_101";1
"6";"ispi_102";1
"7";"ispi_1022";1
"8";"ispi_1023";3
"9";"ispi_1024";1
"10";"ispi_1026";1
"11";"ispi_1040";4
"12";"ispi_1043";1
"13";"ispi_1044";1
"14";"ispi_1045";3
"15";"ispi_1048";4
"16";"ispi_1052";3
"17";"ispi_1053";1
"18";"ispi_1055";1
"19";"ispi_1057";1
"20";"ispi_1068";1
"21";"ispi_1069";1
"22";"ispi_107";2
"23";"ispi_1070";1
"24";"ispi_1084";1
"25";"ispi_1087";4
"26";"ispi_1099";1
"27";"ispi_110";1
"28";"ispi_1108";1
"29";"ispi_1109";2
"30";"ispi_111";2
"31";"ispi_1110";1
"32";"ispi_1115";1
"33";"ispi_1119";2
"34";"ispi_112";3
"35";"ispi_1124";1
"36";"ispi_1125";3
"37";"ispi_1127";2
"38";"ispi_1128";3
"39";"ispi_113";3
"40";"ispi_1145";1
"41";"ispi_1146";2
"42";"ispi_1147";1
"43";"ispi_1157";2
"44";"ispi_1160";2
"45";"ispi_1161";1
"46";"ispi_1174";1
"47";"ispi_1175";2
"48";"ispi_1180";1
"49";"ispi_1186";1
"50";"ispi_1195";2
"51";"ispi_1196";1
"52";"ispi_120";1
"53";"ispi_1210";1
"54";"ispi_1214";3
"55";"ispi_1215";1
"56";"ispi_1229";1
"57";"ispi_123";2
"58";"ispi_1237";1
"59";"ispi_124";2
"60";"ispi_1241";1
"61";"ispi_1246";1
"62";"ispi_125";1
"63";"ispi_1250";1
"64";"ispi_1253";1
"65";"ispi_126";1
"66";"ispi_1260";1
"67";"ispi_1262";1
"68";"ispi_1263";1
"69";"ispi_1265";2
"70";"ispi_1267";1
"71";"ispi_1269";1
"72";"ispi_1270";1
"73";"ispi_1271";2
"74";"ispi_1277";2
"75";"ispi_1281";1
"76";"ispi_1288";1
"77";"ispi_1289";2
"78";"ispi_129";1
"79";"ispi_1291";1
"80";"ispi_1296";1
"81";"ispi_1299";1
"82";"ispi_13";2
"83";"ispi_1303";1
"84";"ispi_1305";1
"85";"ispi_1308";3
"86";"ispi_131";1
"87";"ispi_1310";2
"88";"ispi_1318";1
"89";"ispi_1319";1
"90";"ispi_1324";2
"91";"ispi_1327";1
"92";"ispi_133";1
"93";"ispi_1332";1
"94";"ispi_1335";4
"95";"ispi_1338";1
"96";"ispi_1339";1
"97";"ispi_1353";2
"98";"ispi_1358";2
"99";"ispi_136";1
"100";"ispi_1361";1
"101";"ispi_1362";1
"102";"ispi_1372";2
"103";"ispi_1376";2
"104";"ispi_1378";2
"105";"ispi_1386";4
"106";"ispi_1388";2
"107";"ispi_1391";2
"108";"ispi_1395";3
"109";"ispi_1397";1
"110";"ispi_140";3
"111";"ispi_1400";1
"112";"ispi_1407";1
"113";"ispi_1409";2
"114";"ispi_141";1
"115";"ispi_1414";2
"116";"ispi_1416";2
"117";"ispi_142";1
"118";"ispi_1420";1
"119";"ispi_1424";1
"120";"ispi_1426";1
"121";"ispi_1429";2
"122";"ispi_143";1
"123";"ispi_1446";1
"124";"ispi_145";1
"125";"ispi_1455";1
"126";"ispi_1456";2
"127";"ispi_1459";3
"128";"ispi_146";1
"129";"ispi_1463";3
"130";"ispi_1465";1
"131";"ispi_1476";2
"132";"ispi_1479";2
"133";"ispi_1481";2
"134";"ispi_1485";1
"135";"ispi_1490";2
"136";"ispi_1492";1
"137";"ispi_1493";1
"138";"ispi_1494";1
"139";"ispi_1497";1
"140";"ispi_1499";1
"141";"ispi_15";1
"142";"ispi_1500";2
"143";"ispi_1501";1
"144";"ispi_1502";3
"145";"ispi_1503";1
"146";"ispi_1507";2
"147";"ispi_1512";2
"148";"ispi_1515";3
"149";"ispi_1516";3
"150";"ispi_1519";1
"151";"ispi_1525";3
"152";"ispi_1534";1
"153";"ispi_1539";1
"154";"ispi_1540";2
"155";"ispi_1542";1
"156";"ispi_1543";1
"157";"ispi_1546";3
"158";"ispi_1549";2
"159";"ispi_155";1
"160";"ispi_1552";1
"161";"ispi_1553";2
"162";"ispi_156";2
"163";"ispi_157";1
"164";"ispi_16";1
"165";"ispi_160";2
"166";"ispi_161";2
"167";"ispi_162";2
"168";"ispi_165";1
"169";"ispi_167";2
"170";"ispi_168";2
"171";"ispi_169";2
"172";"ispi_171";2
"173";"ispi_172";1
"174";"ispi_177";1
"175";"ispi_178";1
"176";"ispi_179";1
"177";"ispi_181";1
"178";"ispi_183";2
"179";"ispi_197";1
"180";"ispi_20";1
"181";"ispi_205";2
"182";"ispi_206";1
"183";"ispi_207";2
"184";"ispi_21";1
"185";"ispi_210";2
"186";"ispi_213";2
"187";"ispi_219";2
"188";"ispi_22";1
"189";"ispi_224";4
"190";"ispi_23";1
"191";"ispi_230";1
"192";"ispi_232";2
"193";"ispi_24";2
"194";"ispi_240";2
"195";"ispi_25";1
"196";"ispi_254";1
"197";"ispi_256";1
"198";"ispi_258";1
"199";"ispi_259";2
"200";"ispi_26";2
"201";"ispi_260";1
"202";"ispi_262";2
"203";"ispi_265";2
"204";"ispi_27";1
"205";"ispi_291";2
"206";"ispi_293";2
"207";"ispi_296";1
"208";"ispi_297";2
"209";"ispi_299";3
"210";"ispi_3";1
"211";"ispi_312";1
"212";"ispi_313";2
"213";"ispi_32";3
"214";"ispi_327";1
"215";"ispi_33";2
"216";"ispi_338";1
"217";"ispi_340";1
"218";"ispi_342";1
"219";"ispi_346";2
"220";"ispi_347";1
"221";"ispi_350";2
"222";"ispi_352";2
"223";"ispi_357";4
"224";"ispi_359";1
"225";"ispi_361";1
"226";"ispi_364";2
"227";"ispi_368";1
"228";"ispi_372";2
"229";"ispi_377";1
"230";"ispi_378";1
"231";"ispi_38";1
"232";"ispi_381";1
"233";"ispi_383";4
"234";"ispi_384";1
"235";"ispi_391";2
"236";"ispi_4";1
"237";"ispi_40";3
"238";"ispi_404";1
"239";"ispi_409";1
"240";"ispi_411";2
"241";"ispi_412";1
"242";"ispi_414";3
"243";"ispi_415";2
"244";"ispi_417";1
"245";"ispi_419";1
"246";"ispi_420";1
"247";"ispi_423";4
"248";"ispi_432";1
"249";"ispi_433";1
"250";"ispi_437";1
"251";"ispi_439";1
"252";"ispi_44";3
"253";"ispi_440";1
"254";"ispi_463";2
"255";"ispi_469";1
"256";"ispi_470";1
"257";"ispi_476";3
"258";"ispi_482";1
"259";"ispi_484";1
"260";"ispi_489";1
"261";"ispi_49";1
"262";"ispi_490";2
"263";"ispi_492";1
"264";"ispi_501";1
"265";"ispi_505";1
"266";"ispi_512";1
"267";"ispi_517";2
"268";"ispi_52";1
"269";"ispi_524";1
"270";"ispi_531";4
"271";"ispi_536";1
"272";"ispi_540";3
"273";"ispi_541";2
"274";"ispi_544";1
"275";"ispi_545";1
"276";"ispi_546";3
"277";"ispi_547";1
"278";"ispi_560";1
"279";"ispi_565";1
"280";"ispi_568";3
"281";"ispi_569";1
"282";"ispi_574";1
"283";"ispi_578";1
"284";"ispi_588";1
"285";"ispi_589";1
"286";"ispi_595";1
"287";"ispi_598";1
"288";"ispi_600";3
"289";"ispi_605";1
"290";"ispi_609";1
"291";"ispi_610";2
"292";"ispi_615";2
"293";"ispi_616";2
"294";"ispi_618";1
"295";"ispi_619";1
"296";"ispi_620";1
"297";"ispi_63";1
"298";"ispi_630";2
"299";"ispi_632";1
"300";"ispi_633";1
"301";"ispi_635";1
"302";"ispi_640";1
"303";"ispi_642";2
"304";"ispi_649";1
"305";"ispi_652";1
"306";"ispi_653";1
"307";"ispi_654";1
"308";"ispi_655";1
"309";"ispi_656";1
"310";"ispi_659";1
"311";"ispi_665";1
"312";"ispi_666";3
"313";"ispi_670";1
"314";"ispi_671";2
"315";"ispi_678";1
"316";"ispi_68";2
"317";"ispi_682";1
"318";"ispi_683";1
"319";"ispi_685";2
"320";"ispi_686";1
"321";"ispi_689";1
"322";"ispi_7";1
"323";"ispi_71";1
"324";"ispi_711";1
"325";"ispi_719";1
"326";"ispi_72";1
"327";"ispi_720";1
"328";"ispi_723";1
"329";"ispi_724";1
"330";"ispi_726";1
"331";"ispi_727";1
"332";"ispi_73";1
"333";"ispi_736";3
"334";"ispi_742";1
"335";"ispi_746";3
"336";"ispi_747";3
"337";"ispi_75";2
"338";"ispi_750";1
"339";"ispi_751";1
"340";"ispi_754";1
"341";"ispi_755";1
"342";"ispi_756";2
"343";"ispi_757";2
"344";"ispi_759";1
"345";"ispi_76";1
"346";"ispi_763";1
"347";"ispi_764";2
"348";"ispi_765";2
"349";"ispi_767";3
"350";"ispi_768";1
"351";"ispi_769";2
"352";"ispi_772";1
"353";"ispi_783";1
"354";"ispi_784";1
"355";"ispi_794";1
"356";"ispi_799";1
"357";"ispi_80";2
"358";"ispi_801";1
"359";"ispi_805";1
"360";"ispi_807";1
"361";"ispi_808";1
"362";"ispi_809";1
"363";"ispi_81";1
"364";"ispi_811";1
"365";"ispi_816";1
"366";"ispi_823";1
"367";"ispi_824";1
"368";"ispi_83";1
"369";"ispi_831";1
"370";"ispi_834";2
"371";"ispi_836";1
"372";"ispi_844";1
"373";"ispi_845";1
"374";"ispi_846";1
"375";"ispi_848";2
"376";"ispi_85";1
"377";"ispi_851";2
"378";"ispi_860";1
"379";"ispi_862";2
"380";"ispi_865";1
"381";"ispi_87";2
"382";"ispi_88";1
"383";"ispi_880";1
"384";"ispi_882";1
"385";"ispi_883";2
"386";"ispi_885";1
"387";"ispi_9";1
"388";"ispi_900";3
"389";"ispi_905";1
"390";"ispi_907";1
"391";"ispi_909";1
"392";"ispi_91";1
"393";"ispi_912";4
"394";"ispi_915";2
"395";"ispi_92";3
"396";"ispi_920";1
"397";"ispi_921";3
"398";"ispi_922";1
"399";"ispi_925";1
"400";"ispi_926";1
"401";"ispi_93";1
"402";"ispi_930";2
"403";"ispi_933";1
"404";"ispi_935";2
"405";"ispi_941";2
"406";"ispi_942";1
"407";"ispi_948";2
"408";"ispi_949";1
"409";"ispi_95";3
"410";"ispi_951";3
"411";"ispi_96";2
"412";"ispi_969";4
"413";"ispi_976";1
"414";"ispi_977";1
"415";"ispi_978";2
"416";"ispi_98";1
"417";"ispi_982";2
"418";"ispi_987";2
"419";"ispi_989";3
"420";"ispi_991";1
"421";"ispi_993";2
"422";"ispi_994";2
"423";"uspi_1294";1
"424";"uspi_1297";1
"425";"uspi_1307";1
"426";"uspi_1314";1
"427";"uspi_1317";1
"428";"uspi_1320";1
"429";"uspi_1345";1
"430";"uspi_1355";1
"431";"uspi_1356";1
"432";"uspi_1370";1
"433";"uspi_1387";1
"434";"uspi_1389";1
"435";"uspi_1390";1
"436";"uspi_1404";1
"437";"uspi_1410";1
"438";"uspi_1413";1
"439";"uspi_1437";1
"440";"uspi_1452";1
"441";"uspi_1466";1
"442";"uspi_1471";1
"443";"uspi_1483";1
"444";"uspi_1486";1
"445";"uspi_1498";1
"446";"uspi_1506";1
"447";"uspi_1509";1
