"Yeast7";"Freq"
"1";"Alanine and Aspartate Metabolism";6
"2";"Anaplerotic Reactions";11
"3";"Arabinose Metabolism";3
"4";"Arginine and Proline Metabolism";25
"5";"Asparagine Metabolism";2
"6";"Citric Acid Cycle";11
"7";"Complex Alcohol Metabolism";22
"8";"Fatty Acid Biosynthesis";26
"9";"Fatty Acid Degradation";28
"10";"Folate Metabolism";22
"11";"Fructose and Mannose Metabolism";6
"12";"Galactose Metabolism";5
"13";"Glutamate, Glutamine and Glutathione Metabolism";15
"14";"Glycerolipid Metabolism";9
"15";"Glycine, Serine, Lysine and Threonine Metabolism";29
"16";"Glycolysis and Gluconeogenesis";17
"17";"Glycoprotein Metabolism";4
"18";"Histidine Metabolism";12
"19";"Methane Metabolism";2
"20";"Methionine and Cysteine Metabolism";25
"21";"NAD Biosythesis";14
"22";"Nitrogen Metabolism";2
"23";"Nucleotide Salvage Metabolism";60
"24";"Other Sugars Metabolism (Glycogen, Trehalose, Xylose, Sorbitol...)";22
"25";"Others";10
"26";"Oxidative Phosphorylation";10
"27";"Pantothenate and CoA Biosynthesis";17
"28";"Pentose Phosphate Pathway";12
"29";"Phospholipid Biosynthesis";13
"30";"Porphyrin and Chlorophyll Metabolism";12
"31";"Purine and Pirimidine Biosynthesis";46
"32";"Pyridoxine Metabolism";8
"33";"Pyruvate Metabolism";6
"34";"Quinone Biosynthesis";13
"35";"Riboflavin Metabolism";2
"36";"Sphingolipid Metabolism";18
"37";"Starch and Sucrose Metabolism";1
"38";"Sterol Metabolism";31
"39";"Taurine Metabolism";1
"40";"Thiamine Metabolism";14
"41";"Tyrosine, Tryptophan and Phenylalanine Metabolism";36
"42";"Valine, Leucine and Isoleucine Metabolism";19
