;iFF708;iLL672;iND750;iMM904;iAZ900;iIN800;iTO977;Yeast 1;Yeast 6;Yeast 7
Alanine and Aspartate Metabolism;1;1;1;1;1;1;1;1;1;1
Anaplerotic Reactions;1;1;0.888888888888889;1;1;1;1;1;1;1
Arabinose Metabolism;1;1;1;1;1;1;1;;1;1
Arginine and Proline Metabolism;1;1;1;1;1;1;1;1;1;1
Asparagine Metabolism;1;;1;1;1;1;;1;1;1
Citric Acid Cycle;1;1;1;1;1;1;1;1;1;1
Complex Alcohol Metabolism;;;;1;1;;0.705882352941177;0.985074626865672;1;1
Fatty Acid Biosynthesis;0.3;1;1;1;1;0.878048780487805;0.863247863247863;0.909090909090909;1;1
Fatty Acid Degradation;0.230769230769231;1;1;1;0.978260869565217;0.90625;0.901639344262295;0.932203389830508;1;1
Folate Metabolism;0.888888888888889;1;1;1;0.964285714285714;1;0.962962962962963;1;1;1
Fructose and Mannose Metabolism;1;1;1;1;1;1;1;1;1;1
Galactose Metabolism;1;1;1;1;1;1;1;1;1;1
Glutamate, Glutamine and Glutathione Metabolism;1;1;1;1;0.945945945945946;1;0.941176470588235;1;1;1
Glycerolipid Metabolism;0.833333333333333;1;1;1;1;0.944444444444444;0.714285714285714;1;1;1
Glycine, Serine, Lysine and Threonine Metabolism;1;1;1;1;1;1;0.96875;1;1;1
Glycolysis and Gluconeogenesis;1;1;1;1;1;1;1;1;1;1
Glycoprotein Metabolism;0.533333333333333;1;1;1;1;1;0.142857142857143;;1;1
Histidine Metabolism;0.842105263157895;1;1;1;1;0.947368421052632;0.933333333333333;1;1;1
Methane Metabolism;1;1;1;1;1;1;1;1;1;1
Methionine and Cysteine Metabolism;1;1;1;1;1;1;0.888888888888889;1;1;1
NAD Biosythesis;1;1;1;1;1;1;0.964285714285714;1;1;1
Nitrogen Metabolism;1;1;1;1;1;1;1;1;1;1
Nucleotide Salvage Metabolism;1;1;1;1;1;1;0.906666666666667;1;1;1
Other Sugars Metabolism;1;1;1;1;1;1;0.882352941176471;0.864864864864865;1;1
Others;1;1;1;1;1;1;0.785714285714286;1;1;1
Oxidative Phosphorylation;0.928571428571429;1;1;1;1;1;1;1;1;1
Pantothenate and CoA Biosynthesis;1;1;1;1;1;1;0.857142857142857;1;1;1
Pentose Phosphate Pathway;1;1;1;1;1;1;1;1;1;1
Phospholipid Biosynthesis;0.736842105263158;1;1;1;0.928571428571429;1;0.952380952380952;0.882352941176471;1;1
Porphyrin and Chlorophyll Metabolism;1;1;1;1;1;1;1;1;1;1
Purine and Pirimidine Biosynthesis;1;1;1;1;0.980769230769231;1;0.96551724137931;1;1;1
Pyridoxine Metabolism;1;1;1;1;1;1;1;1;1;1
Pyruvate Metabolism;1;1;1;1;1;1;1;1;1;1
Quinone Biosynthesis;0.928571428571429;1;0.1;1;1;1;1;0.705882352941177;1;1
Riboflavin Metabolism;0.818181818181818;1;0.916666666666667;1;;1;0.823529411764706;1;1;1
Sphingolipid Metabolism;0.666666666666667;1;0.945945945945946;1;1;0.945945945945946;0.961538461538462;0.977777777777778;1;1
Starch and Sucrose Metabolism;1;1;1;1;1;1;1;1;1;1
Sterol Metabolism;0.806451612903226;1;1;1;0.96078431372549;0.970588235294118;0.9375;0.868421052631579;1;1
Taurine Metabolism;;;;1;1;;1;1;1;1
Thiamine Metabolism;0.6875;1;1;1;1;1;1;1;1;1
Tyrosine, Tryptophan and Phenylalanine Metabolism;1;1;0.981818181818182;1;1;1;0.980392156862745;1;1;1
Valine, Leucine and Isoleucine Metabolism;0.466666666666667;1;1;1;1;1;1;1;1;1
tRNA Synthesis;0.727272727272727;;;1;1;0.923076923076923;1;1;;
